Gene A	Gene B	Neither	A Not B	B Not A	Both	Log Odds Ratio	p-Value	Adjusted p-Value	Tendency
IGSF8	GSN	372	10	6	1	1.825	0.183	1.000	Co-occurrence
PBXIP1	SOX3	372	10	6	1	1.825	0.183	1.000	Co-occurrence
IGSF8	HAVCR2	372	10	6	1	1.825	0.183	1.000	Co-occurrence
IGSF8	SHH	372	10	6	1	1.825	0.183	1.000	Co-occurrence
BIRC2	KLF8	372	6	10	1	1.825	0.183	1.000	Co-occurrence
SNW1	KLF8	372	6	10	1	1.825	0.183	1.000	Co-occurrence
FSCN2	GAPDH	371	12	5	1	1.822	0.186	1.000	Co-occurrence
HDAC8	FSCN2	371	5	12	1	1.822	0.186	1.000	Co-occurrence
HDAC8	SCIN	371	5	12	1	1.822	0.186	1.000	Co-occurrence
HDAC8	ETV1	371	5	12	1	1.822	0.186	1.000	Co-occurrence
AQP3	ETV1	371	5	12	1	1.822	0.186	1.000	Co-occurrence
MAPK7	PIK3CA	259	5	120	5	0.769	0.186	1.000	Co-occurrence
FBXW7	OVOL2	316	64	6	3	0.904	0.190	1.000	Co-occurrence
FBXW7	AGTR1	316	64	6	3	0.904	0.190	1.000	Co-occurrence
TLE1	NUMB	372	9	7	1	1.776	0.190	1.000	Co-occurrence
TLE1	TRIM62	372	9	7	1	1.776	0.190	1.000	Co-occurrence
MAPK7	TRIM62	372	9	7	1	1.776	0.190	1.000	Co-occurrence
ARRB1	TRIM33	369	4	15	1	1.816	0.190	1.000	Co-occurrence
PAK4	GLS	369	15	4	1	1.816	0.190	1.000	Co-occurrence
GLS	SON	369	4	15	1	1.816	0.190	1.000	Co-occurrence
ACTN4	SFTPC	355	13	19	2	1.056	0.191	1.000	Co-occurrence
ARRB1	PIK3CA	262	2	122	3	1.170	0.191	1.000	Co-occurrence
PKP3	SNW1	371	11	6	1	1.727	0.198	1.000	Co-occurrence
FBXO11	SHH	371	11	6	1	1.727	0.198	1.000	Co-occurrence
CXCR2	FBXO11	371	6	11	1	1.727	0.198	1.000	Co-occurrence
CRK	FBXO11	371	6	11	1	1.727	0.198	1.000	Co-occurrence
GSN	FBXO11	371	6	11	1	1.727	0.198	1.000	Co-occurrence
ART1	GRN	371	6	11	1	1.727	0.198	1.000	Co-occurrence
CXCR2	GRN	371	6	11	1	1.727	0.198	1.000	Co-occurrence
GSN	GRN	371	6	11	1	1.727	0.198	1.000	Co-occurrence
BIRC2	GRN	371	6	11	1	1.727	0.198	1.000	Co-occurrence
ART1	PKP3	371	6	11	1	1.727	0.198	1.000	Co-occurrence
SOX3	PKP3	371	6	11	1	1.727	0.198	1.000	Co-occurrence
CXCR2	QKI	371	6	11	1	1.727	0.198	1.000	Co-occurrence
EPS8	QKI	371	6	11	1	1.727	0.198	1.000	Co-occurrence
SHH	TCF3	371	6	11	1	1.727	0.198	1.000	Co-occurrence
HDAC8	HDAC6	370	5	13	1	1.739	0.199	1.000	Co-occurrence
AQP3	HDAC6	370	5	13	1	1.739	0.199	1.000	Co-occurrence
HDAC8	NRP2	370	5	13	1	1.739	0.199	1.000	Co-occurrence
HDAC6	GAPDH	370	13	5	1	1.739	0.199	1.000	Co-occurrence
HDAC8	CARD10	370	5	13	1	1.739	0.199	1.000	Co-occurrence
GAPDH	CARD10	370	5	13	1	1.739	0.199	1.000	Co-occurrence
MDM4	CARD10	370	5	13	1	1.739	0.199	1.000	Co-occurrence
G3BP1	CUX1	355	15	17	2	1.024	0.199	1.000	Co-occurrence
CUX1	TP73	355	17	15	2	1.024	0.199	1.000	Co-occurrence
SFTPC	WWOX	314	16	54	5	0.597	0.199	1.000	Co-occurrence
NOTCH4	EED	365	20	3	1	1.806	0.200	1.000	Co-occurrence
NOTCH4	EGFL7	365	20	3	1	1.806	0.200	1.000	Co-occurrence
SFTPC	ZNF143	365	20	3	1	1.806	0.200	1.000	Co-occurrence
ITGB4	FSCN2	353	23	11	2	1.026	0.200	1.000	Co-occurrence
ITGB4	ETV1	353	23	11	2	1.026	0.200	1.000	Co-occurrence
G3BP1	MMD	368	16	4	1	1.749	0.201	1.000	Co-occurrence
G3BP1	ARRB1	368	16	4	1	1.749	0.201	1.000	Co-occurrence
MMD	ITGA3	368	4	16	1	1.749	0.201	1.000	Co-occurrence
ARRB1	ITGA3	368	4	16	1	1.749	0.201	1.000	Co-occurrence
ITGA3	GLS	368	16	4	1	1.749	0.201	1.000	Co-occurrence
GLS	TP73	368	4	16	1	1.749	0.201	1.000	Co-occurrence
GLS	FSHR	368	4	16	1	1.749	0.201	1.000	Co-occurrence
USP9X	MAPK7	348	31	8	2	1.032	0.205	1.000	Co-occurrence
TLE1	KMT2A	348	8	31	2	1.032	0.205	1.000	Co-occurrence
FBXW7	GLS	319	65	3	2	1.185	0.206	1.000	Co-occurrence
IGSF8	TRIM62	371	10	7	1	1.668	0.207	1.000	Co-occurrence
NUMB	KLF8	371	7	10	1	1.668	0.207	1.000	Co-occurrence
FBXW7	HDAC6	312	63	10	4	0.684	0.208	1.000	Co-occurrence
FSCN2	PIK3CA	257	7	119	6	0.616	0.209	1.000	Co-occurrence
TLE1	OVOL2	371	9	8	1	1.640	0.211	1.000	Co-occurrence
TLE1	AGTR1	371	9	8	1	1.640	0.211	1.000	Co-occurrence
SFTPC	UBE3C	354	19	14	2	0.979	0.211	1.000	Co-occurrence
NOTCH4	SON	354	19	14	2	0.979	0.211	1.000	Co-occurrence
ACTN4	AQP3	369	14	5	1	1.662	0.211	1.000	Co-occurrence
ACTN4	GAPDH	369	14	5	1	1.662	0.211	1.000	Co-occurrence
ACTN4	MDM4	369	14	5	1	1.662	0.211	1.000	Co-occurrence
PRKCA	MDM4	369	14	5	1	1.662	0.211	1.000	Co-occurrence
SIN3A	MMD	367	17	4	1	1.686	0.212	1.000	Co-occurrence
STAT1	ARRB1	367	17	4	1	1.686	0.212	1.000	Co-occurrence
FSCN2	EPS8	370	12	6	1	1.637	0.213	1.000	Co-occurrence
SCIN	EPS8	370	12	6	1	1.637	0.213	1.000	Co-occurrence
FSCN2	GSN	370	12	6	1	1.637	0.213	1.000	Co-occurrence
SCIN	BIRC2	370	12	6	1	1.637	0.213	1.000	Co-occurrence
FSCN2	SOX3	370	12	6	1	1.637	0.213	1.000	Co-occurrence
SCIN	SOX3	370	12	6	1	1.637	0.213	1.000	Co-occurrence
FSCN2	HAVCR2	370	12	6	1	1.637	0.213	1.000	Co-occurrence
ETV1	SNW1	370	12	6	1	1.637	0.213	1.000	Co-occurrence
FSCN2	SHH	370	12	6	1	1.637	0.213	1.000	Co-occurrence
ART1	SCIN	370	6	12	1	1.637	0.213	1.000	Co-occurrence
EPS8	ETV1	370	6	12	1	1.637	0.213	1.000	Co-occurrence
BIRC2	ETV1	370	6	12	1	1.637	0.213	1.000	Co-occurrence
SOX3	ETV1	370	6	12	1	1.637	0.213	1.000	Co-occurrence
JAG1	EGFL7	363	22	3	1	1.705	0.217	1.000	Co-occurrence
ACTN4	JAG1	353	13	21	2	0.950	0.220	1.000	Co-occurrence
CUX1	MMD	366	18	4	1	1.626	0.223	1.000	Co-occurrence
FBXO11	NUMB	370	11	7	1	1.570	0.224	1.000	Co-occurrence
FBXO11	TRIM62	370	11	7	1	1.570	0.224	1.000	Co-occurrence
NUMB	GRN	370	7	11	1	1.570	0.224	1.000	Co-occurrence
NUMB	TCF3	370	7	11	1	1.570	0.224	1.000	Co-occurrence
HDAC8	UBE3C	368	5	15	1	1.591	0.224	1.000	Co-occurrence
AQP3	UBE3C	368	5	15	1	1.591	0.224	1.000	Co-occurrence
PAK4	GAPDH	368	15	5	1	1.591	0.224	1.000	Co-occurrence
TRIM33	MDM4	368	15	5	1	1.591	0.224	1.000	Co-occurrence
GAPDH	SON	368	5	15	1	1.591	0.224	1.000	Co-occurrence
ITGB4	NRP2	352	23	12	2	0.936	0.225	1.000	Co-occurrence
HDAC8	ATM	326	4	57	2	1.051	0.227	1.000	Co-occurrence
AQP3	ATM	326	4	57	2	1.051	0.227	1.000	Co-occurrence
GAPDH	WWOX	326	4	57	2	1.051	0.227	1.000	Co-occurrence
ATM	GAPDH	326	57	4	2	1.051	0.227	1.000	Co-occurrence
ATM	MDM4	326	57	4	2	1.051	0.227	1.000	Co-occurrence
EPS8	NRP2	369	6	13	1	1.554	0.228	1.000	Co-occurrence
HDAC6	SOX3	369	13	6	1	1.554	0.228	1.000	Co-occurrence
NRP2	SOX3	369	13	6	1	1.554	0.228	1.000	Co-occurrence
NRP2	HAVCR2	369	13	6	1	1.554	0.228	1.000	Co-occurrence
HDAC6	SNW1	369	13	6	1	1.554	0.228	1.000	Co-occurrence
CXCR2	CARD10	369	6	13	1	1.554	0.228	1.000	Co-occurrence
BIRC2	CARD10	369	6	13	1	1.554	0.228	1.000	Co-occurrence
HAVCR2	CARD10	369	6	13	1	1.554	0.228	1.000	Co-occurrence
SNW1	CARD10	369	6	13	1	1.554	0.228	1.000	Co-occurrence
HDAC6	SHH	369	13	6	1	1.554	0.228	1.000	Co-occurrence
NRP2	SHH	369	13	6	1	1.554	0.228	1.000	Co-occurrence
CARD10	SHH	369	13	6	1	1.554	0.228	1.000	Co-occurrence
AGTR1	KLF8	370	8	10	1	1.531	0.230	1.000	Co-occurrence
SFTPC	TP73	353	19	15	2	0.907	0.232	1.000	Co-occurrence
PIK3CA	UBR5	242	111	22	14	0.327	0.232	1.000	Co-occurrence
PIK3CA	TRIM62	260	121	4	4	0.765	0.233	1.000	Co-occurrence
USP9X	PTPA	354	32	2	1	1.710	0.234	1.000	Co-occurrence
USP9X	CREB1	354	32	2	1	1.710	0.234	1.000	Co-occurrence
ITGB4	EED	361	24	3	1	1.612	0.234	1.000	Co-occurrence
ITGB4	EGFL7	361	24	3	1	1.612	0.234	1.000	Co-occurrence
ITGB4	ZNF143	361	24	3	1	1.612	0.234	1.000	Co-occurrence
CAPNS1	ITGB4	361	3	24	1	1.612	0.234	1.000	Co-occurrence
TLE1	UBR5	345	8	34	2	0.931	0.234	1.000	Co-occurrence
G3BP1	HDAC8	367	16	5	1	1.523	0.237	1.000	Co-occurrence
G3BP1	AQP3	367	16	5	1	1.523	0.237	1.000	Co-occurrence
G3BP1	GAPDH	367	16	5	1	1.523	0.237	1.000	Co-occurrence
AQP3	TP73	367	5	16	1	1.523	0.237	1.000	Co-occurrence
HDAC8	FSHR	367	5	16	1	1.523	0.237	1.000	Co-occurrence
AQP3	FSHR	367	5	16	1	1.523	0.237	1.000	Co-occurrence
MDM4	FSHR	367	5	16	1	1.523	0.237	1.000	Co-occurrence
PBXIP1	KMT2A	347	9	31	2	0.911	0.237	1.000	Co-occurrence
TLE1	FBXW7	315	7	64	3	0.746	0.239	1.000	Co-occurrence
FBXW7	MAPK7	315	64	7	3	0.746	0.239	1.000	Co-occurrence
FSCN2	NUMB	369	12	7	1	1.480	0.240	1.000	Co-occurrence
NUMB	ETV1	369	7	12	1	1.480	0.240	1.000	Co-occurrence
FSCN2	TRIM62	369	12	7	1	1.480	0.240	1.000	Co-occurrence
PRKCA	CXCR2	368	14	6	1	1.477	0.242	1.000	Co-occurrence
ACTN4	EPS8	368	14	6	1	1.477	0.242	1.000	Co-occurrence
PRKCA	SHH	368	14	6	1	1.477	0.242	1.000	Co-occurrence
JAG1	SON	352	21	14	2	0.873	0.243	1.000	Co-occurrence
CREB1	PIK3CA	263	1	123	2	1.453	0.243	1.000	Co-occurrence
NOTCH4	MMD	364	20	4	1	1.515	0.243	1.000	Co-occurrence
SFTPC	GLS	364	20	4	1	1.515	0.243	1.000	Co-occurrence
ATM	ITGA3	317	55	13	4	0.573	0.248	1.000	Co-occurrence
OVOL2	PKP3	369	8	11	1	1.433	0.248	1.000	Co-occurrence
GRN	AGTR1	369	11	8	1	1.433	0.248	1.000	Co-occurrence
PKP3	AGTR1	369	11	8	1	1.433	0.248	1.000	Co-occurrence
OVOL2	TCF3	369	8	11	1	1.433	0.248	1.000	Co-occurrence
AGTR1	TCF3	369	8	11	1	1.433	0.248	1.000	Co-occurrence
STAT1	HDAC8	366	17	5	1	1.460	0.249	1.000	Co-occurrence
SIN3A	AQP3	366	17	5	1	1.460	0.249	1.000	Co-occurrence
SIN3A	MDM4	366	17	5	1	1.460	0.249	1.000	Co-occurrence
PBXIP1	MAPK7	369	10	9	1	1.411	0.252	1.000	Co-occurrence
TLE1	IGSF8	369	9	10	1	1.411	0.252	1.000	Co-occurrence
NOTCH4	SIN3A	352	19	16	2	0.840	0.253	1.000	Co-occurrence
SIN3A	SFTPC	352	16	19	2	0.840	0.253	1.000	Co-occurrence
PTPA	UBR5	351	2	35	1	1.612	0.253	1.000	Co-occurrence
CREB1	UBR5	351	2	35	1	1.612	0.253	1.000	Co-occurrence
NRP2	NUMB	368	13	7	1	1.397	0.256	1.000	Co-occurrence
HDAC6	TRIM62	368	13	7	1	1.397	0.256	1.000	Co-occurrence
NRP2	TRIM62	368	13	7	1	1.397	0.256	1.000	Co-occurrence
CARD10	TRIM62	368	13	7	1	1.397	0.256	1.000	Co-occurrence
PAK4	SNW1	367	15	6	1	1.406	0.256	1.000	Co-occurrence
UBE3C	SNW1	367	15	6	1	1.406	0.256	1.000	Co-occurrence
PAK4	SHH	367	15	6	1	1.406	0.256	1.000	Co-occurrence
TRIM33	SHH	367	15	6	1	1.406	0.256	1.000	Co-occurrence
SON	SHH	367	15	6	1	1.406	0.256	1.000	Co-occurrence
CXCR2	UBE3C	367	6	15	1	1.406	0.256	1.000	Co-occurrence
EPS8	UBE3C	367	6	15	1	1.406	0.256	1.000	Co-occurrence
ART1	TRIM33	367	6	15	1	1.406	0.256	1.000	Co-occurrence
EPS8	TRIM33	367	6	15	1	1.406	0.256	1.000	Co-occurrence
GSN	TRIM33	367	6	15	1	1.406	0.256	1.000	Co-occurrence
ART1	SON	367	6	15	1	1.406	0.256	1.000	Co-occurrence
CXCR2	SON	367	6	15	1	1.406	0.256	1.000	Co-occurrence
EPS8	SON	367	6	15	1	1.406	0.256	1.000	Co-occurrence
CRK	SON	367	6	15	1	1.406	0.256	1.000	Co-occurrence
SOX3	SON	367	6	15	1	1.406	0.256	1.000	Co-occurrence
HAVCR2	SON	367	6	15	1	1.406	0.256	1.000	Co-occurrence
PIK3CA	KLF8	255	123	9	2	-0.775	0.257	1.000	Mutual exclusivity
USP9X	SFTPC	338	30	18	3	0.630	0.259	1.000	Co-occurrence
CUX1	HDAC8	365	18	5	1	1.400	0.261	1.000	Co-occurrence
CUX1	GAPDH	365	18	5	1	1.400	0.261	1.000	Co-occurrence
CUX1	MDM4	365	18	5	1	1.400	0.261	1.000	Co-occurrence
FBXW7	CRK	315	67	7	0	<-3	0.263	1.000	Mutual exclusivity
FBXW7	HAVCR2	315	67	7	0	<-3	0.263	1.000	Mutual exclusivity
MMD	JAG1	362	4	22	1	1.414	0.264	1.000	Co-occurrence
JAG1	ARRB1	362	22	4	1	1.414	0.264	1.000	Co-occurrence
JAG1	GLS	362	22	4	1	1.414	0.264	1.000	Co-occurrence
FSCN2	AGTR1	368	12	8	1	1.344	0.266	1.000	Co-occurrence
ETV1	AGTR1	368	12	8	1	1.344	0.266	1.000	Co-occurrence
G3BP1	ART1	366	16	6	1	1.338	0.270	1.000	Co-occurrence
G3BP1	CXCR2	366	16	6	1	1.338	0.270	1.000	Co-occurrence
G3BP1	EPS8	366	16	6	1	1.338	0.270	1.000	Co-occurrence
G3BP1	SOX3	366	16	6	1	1.338	0.270	1.000	Co-occurrence
ITGA3	SOX3	366	16	6	1	1.338	0.270	1.000	Co-occurrence
ITGA3	HAVCR2	366	16	6	1	1.338	0.270	1.000	Co-occurrence
GSN	TP73	366	6	16	1	1.338	0.270	1.000	Co-occurrence
ART1	FSHR	366	6	16	1	1.338	0.270	1.000	Co-occurrence
EPS8	FSHR	366	6	16	1	1.338	0.270	1.000	Co-occurrence
CRK	FSHR	366	6	16	1	1.338	0.270	1.000	Co-occurrence
BIRC2	FSHR	366	6	16	1	1.338	0.270	1.000	Co-occurrence
G3BP1	SNW1	366	16	6	1	1.338	0.270	1.000	Co-occurrence
ITGA3	SNW1	366	16	6	1	1.338	0.270	1.000	Co-occurrence
G3BP1	SHH	366	16	6	1	1.338	0.270	1.000	Co-occurrence
FSHR	SHH	366	16	6	1	1.338	0.270	1.000	Co-occurrence
PBXIP1	UBR5	344	9	34	2	0.810	0.270	1.000	Co-occurrence
USP9X	FBXO11	346	31	10	2	0.803	0.270	1.000	Co-occurrence
KMT2A	FBXO11	346	31	10	2	0.803	0.270	1.000	Co-occurrence
USP9X	GRN	346	31	10	2	0.803	0.270	1.000	Co-occurrence
KMT2A	GRN	346	31	10	2	0.803	0.270	1.000	Co-occurrence
TLE1	FBXO11	368	9	11	1	1.313	0.272	1.000	Co-occurrence
MAPK7	FBXO11	368	9	11	1	1.313	0.272	1.000	Co-occurrence
TLE1	GRN	368	9	11	1	1.313	0.272	1.000	Co-occurrence
TLE1	QKI	368	9	11	1	1.313	0.272	1.000	Co-occurrence
PRKCA	TRIM62	367	14	7	1	1.320	0.272	1.000	Co-occurrence
CUX1	SFTPC	351	17	19	2	0.776	0.274	1.000	Co-occurrence
PBXIP1	KLF8	368	10	10	1	1.303	0.274	1.000	Co-occurrence
IGSF8	KLF8	368	10	10	1	1.303	0.274	1.000	Co-occurrence
ITGB4	PAK4	350	23	14	2	0.777	0.275	1.000	Co-occurrence
ITGB4	UBE3C	350	23	14	2	0.777	0.275	1.000	Co-occurrence
FBXW7	AQP3	318	65	4	2	0.895	0.276	1.000	Co-occurrence
NR1I2	ATM	329	1	58	1	1.736	0.281	1.000	Co-occurrence
CSF2	ATM	329	1	58	1	1.736	0.281	1.000	Co-occurrence
GEMIN2	ATM	329	1	58	1	1.736	0.281	1.000	Co-occurrence
NR1I2	WWOX	329	1	58	1	1.736	0.281	1.000	Co-occurrence
CSF2	WWOX	329	1	58	1	1.736	0.281	1.000	Co-occurrence
NAMPT	WWOX	329	1	58	1	1.736	0.281	1.000	Co-occurrence
ATM	NODAL	329	58	1	1	1.736	0.281	1.000	Co-occurrence
SFTPC	PIK3CA	248	16	120	5	-0.437	0.281	1.000	Mutual exclusivity
HDAC6	AGTR1	367	13	8	1	1.261	0.284	1.000	Co-occurrence
GSN	PIK3CA	258	6	124	1	-1.059	0.284	1.000	Mutual exclusivity
ITGB4	ARRB1	360	24	4	1	1.322	0.284	1.000	Co-occurrence
STAT1	EPS8	365	17	6	1	1.275	0.284	1.000	Co-occurrence
SIN3A	GSN	365	17	6	1	1.275	0.284	1.000	Co-occurrence
SIN3A	BIRC2	365	17	6	1	1.275	0.284	1.000	Co-occurrence
SIN3A	SOX3	365	17	6	1	1.275	0.284	1.000	Co-occurrence
STAT1	HAVCR2	365	17	6	1	1.275	0.284	1.000	Co-occurrence
SIN3A	HAVCR2	365	17	6	1	1.275	0.284	1.000	Co-occurrence
STAT1	SNW1	365	17	6	1	1.275	0.284	1.000	Co-occurrence
SIN3A	SHH	365	17	6	1	1.275	0.284	1.000	Co-occurrence
NOTCH4	AQP3	363	20	5	1	1.289	0.285	1.000	Co-occurrence
NOTCH4	MDM4	363	20	5	1	1.289	0.285	1.000	Co-occurrence
PAK4	NUMB	366	15	7	1	1.249	0.288	1.000	Co-occurrence
PAK4	TRIM62	366	15	7	1	1.249	0.288	1.000	Co-occurrence
SON	TRIM62	366	15	7	1	1.249	0.288	1.000	Co-occurrence
GSN	ATM	325	5	57	2	0.824	0.288	1.000	Co-occurrence
FBXW7	IGSF8	314	64	8	3	0.610	0.290	1.000	Co-occurrence
FBXW7	PAK4	310	63	12	4	0.495	0.290	1.000	Co-occurrence
FBXW7	UBE3C	310	63	12	4	0.495	0.290	1.000	Co-occurrence
FSCN2	MAPK7	367	12	9	1	1.223	0.291	1.000	Co-occurrence
TLE1	ETV1	367	9	12	1	1.223	0.291	1.000	Co-occurrence
IGSF8	FBXO11	367	10	11	1	1.205	0.295	1.000	Co-occurrence
IGSF8	GRN	367	10	11	1	1.205	0.295	1.000	Co-occurrence
PBXIP1	PKP3	367	10	11	1	1.205	0.295	1.000	Co-occurrence
IGSF8	PKP3	367	10	11	1	1.205	0.295	1.000	Co-occurrence
FBXO11	KLF8	367	11	10	1	1.205	0.295	1.000	Co-occurrence
PKP3	KLF8	367	11	10	1	1.205	0.295	1.000	Co-occurrence
PBXIP1	TCF3	367	10	11	1	1.205	0.295	1.000	Co-occurrence
IGSF8	TCF3	367	10	11	1	1.205	0.295	1.000	Co-occurrence
CUX1	EPS8	364	18	6	1	1.215	0.298	1.000	Co-occurrence
CUX1	CRK	364	18	6	1	1.215	0.298	1.000	Co-occurrence
CUX1	BIRC2	364	18	6	1	1.215	0.298	1.000	Co-occurrence
CUX1	SOX3	364	18	6	1	1.215	0.298	1.000	Co-occurrence
CUX1	SHH	364	18	6	1	1.215	0.298	1.000	Co-occurrence
USP9X	EED	353	32	3	1	1.302	0.300	1.000	Co-occurrence
KMT2A	IRF8	353	32	3	1	1.302	0.300	1.000	Co-occurrence
USP9X	EGFL7	353	32	3	1	1.302	0.300	1.000	Co-occurrence
KMT2A	EGFL7	353	32	3	1	1.302	0.300	1.000	Co-occurrence
KMT2A	ZNF143	353	32	3	1	1.302	0.300	1.000	Co-occurrence
PRKCA	AGTR1	366	14	8	1	1.184	0.301	1.000	Co-occurrence
NOTCH4	SFTPC	347	21	21	0	<-3	0.302	1.000	Mutual exclusivity
G3BP1	NUMB	365	16	7	1	1.181	0.303	1.000	Co-occurrence
ITGA3	NUMB	365	16	7	1	1.181	0.303	1.000	Co-occurrence
SFTPC	UBR5	335	18	33	3	0.526	0.306	1.000	Co-occurrence
FBXO11	UBR5	343	10	34	2	0.702	0.307	1.000	Co-occurrence
HDAC8	JAG1	361	5	22	1	1.188	0.308	1.000	Co-occurrence
JAG1	GAPDH	361	22	5	1	1.188	0.308	1.000	Co-occurrence
JAG1	MDM4	361	22	5	1	1.188	0.308	1.000	Co-occurrence
CRK	WWOX	323	7	59	0	<-3	0.313	1.000	Mutual exclusivity
TP73	PIK3CA	251	13	121	4	-0.449	0.313	1.000	Mutual exclusivity
FBXW7	NR1I2	321	66	1	1	1.582	0.315	1.000	Co-occurrence
FBXW7	CSF2	321	66	1	1	1.582	0.315	1.000	Co-occurrence
FBXW7	NAMPT	321	66	1	1	1.582	0.315	1.000	Co-occurrence
SCIN	KLF8	366	12	10	1	1.115	0.315	1.000	Co-occurrence
ATM	PIK3CA	226	38	104	21	0.183	0.317	1.000	Co-occurrence
FBXO11	GRN	366	11	11	1	1.107	0.317	1.000	Co-occurrence
PKP3	QKI	366	11	11	1	1.107	0.317	1.000	Co-occurrence
QKI	TCF3	366	11	11	1	1.107	0.317	1.000	Co-occurrence
PAK4	OVOL2	365	15	8	1	1.112	0.318	1.000	Co-occurrence
OVOL2	TRIM33	365	8	15	1	1.112	0.318	1.000	Co-occurrence
OVOL2	SON	365	8	15	1	1.112	0.318	1.000	Co-occurrence
PAK4	AGTR1	365	15	8	1	1.112	0.318	1.000	Co-occurrence
UBE3C	AGTR1	365	15	8	1	1.112	0.318	1.000	Co-occurrence
SON	AGTR1	365	15	8	1	1.112	0.318	1.000	Co-occurrence
SIN3A	TRIM62	364	17	7	1	1.118	0.318	1.000	Co-occurrence
PIK3CA	AGTR1	259	121	5	4	0.538	0.319	1.000	Co-occurrence
OVOL2	PIK3CA	259	5	121	4	0.538	0.319	1.000	Co-occurrence
ELSPBP1	PIK3CA	264	0	124	1	>3	0.321	1.000	Co-occurrence
IRF8	UBR5	350	3	35	1	1.204	0.323	1.000	Co-occurrence
NOTCH4	EPS8	362	20	6	1	1.104	0.324	1.000	Co-occurrence
NOTCH4	BIRC2	362	20	6	1	1.104	0.324	1.000	Co-occurrence
NOTCH4	SOX3	362	20	6	1	1.104	0.324	1.000	Co-occurrence
SFTPC	SOX3	362	20	6	1	1.104	0.324	1.000	Co-occurrence
NOTCH4	HAVCR2	362	20	6	1	1.104	0.324	1.000	Co-occurrence
NOTCH4	SHH	362	20	6	1	1.104	0.324	1.000	Co-occurrence
SFTPC	SHH	362	20	6	1	1.104	0.324	1.000	Co-occurrence
PRKCA	MAPK7	365	14	9	1	1.064	0.328	1.000	Co-occurrence
TLE1	ACTN4	365	9	14	1	1.064	0.328	1.000	Co-occurrence
ITGB4	HDAC8	359	24	5	1	1.096	0.331	1.000	Co-occurrence
ITGB4	AQP3	359	24	5	1	1.096	0.331	1.000	Co-occurrence
ITGB4	MDM4	359	24	5	1	1.096	0.331	1.000	Co-occurrence
PKP3	PIK3CA	257	7	120	5	0.425	0.333	1.000	Co-occurrence
FBXW7	FSHR	309	63	13	4	0.412	0.333	1.000	Co-occurrence
FBXW7	USP9X	296	60	26	7	0.284	0.334	1.000	Co-occurrence
FSHR	AGTR1	364	16	8	1	1.045	0.334	1.000	Co-occurrence
PBXIP1	HDAC6	365	10	13	1	1.032	0.335	1.000	Co-occurrence
PBXIP1	CARD10	365	10	13	1	1.032	0.335	1.000	Co-occurrence
NRP2	KLF8	365	13	10	1	1.032	0.335	1.000	Co-occurrence
CARD10	KLF8	365	13	10	1	1.032	0.335	1.000	Co-occurrence
FSCN2	GRN	365	12	11	1	1.017	0.339	1.000	Co-occurrence
SCIN	GRN	365	12	11	1	1.017	0.339	1.000	Co-occurrence
SCIN	QKI	365	12	11	1	1.017	0.339	1.000	Co-occurrence
FSCN2	TCF3	365	12	11	1	1.017	0.339	1.000	Co-occurrence
ETV1	TCF3	365	12	11	1	1.017	0.339	1.000	Co-occurrence
USP9X	PKP3	344	33	12	0	<-3	0.340	1.000	Mutual exclusivity
FBXW7	TCF3	313	64	9	3	0.489	0.342	1.000	Co-occurrence
FBXW7	ART1	317	65	5	2	0.668	0.346	1.000	Co-occurrence
FBXW7	BIRC2	317	65	5	2	0.668	0.346	1.000	Co-occurrence
FBXW7	SOX3	317	65	5	2	0.668	0.346	1.000	Co-occurrence
FBXW7	SNW1	317	65	5	2	0.668	0.346	1.000	Co-occurrence
FBXW7	SHH	317	65	5	2	0.668	0.346	1.000	Co-occurrence
PAK4	MAPK7	364	15	9	1	0.992	0.346	1.000	Co-occurrence
TLE1	UBE3C	364	9	15	1	0.992	0.346	1.000	Co-occurrence
TLE1	TRIM33	364	9	15	1	0.992	0.346	1.000	Co-occurrence
TLE1	SON	364	9	15	1	0.992	0.346	1.000	Co-occurrence
WWOX	TRIM62	324	57	6	2	0.639	0.348	1.000	Co-occurrence
ART1	JAG1	360	6	22	1	1.003	0.350	1.000	Co-occurrence
EPS8	JAG1	360	6	22	1	1.003	0.350	1.000	Co-occurrence
OVOL2	SIN3A	363	8	17	1	0.982	0.350	1.000	Co-occurrence
STAT1	AGTR1	363	17	8	1	0.982	0.350	1.000	Co-occurrence
ACTN4	IGSF8	364	14	10	1	0.956	0.355	1.000	Co-occurrence
ACTN4	KLF8	364	14	10	1	0.956	0.355	1.000	Co-occurrence
PRKCA	KLF8	364	14	10	1	0.956	0.355	1.000	Co-occurrence
PBXIP1	PRKCA	364	10	14	1	0.956	0.355	1.000	Co-occurrence
SFTPC	JAG1	347	19	21	2	0.554	0.357	1.000	Co-occurrence
ARRB1	KMT2A	352	4	32	1	1.012	0.360	1.000	Co-occurrence
USP9X	MMD	352	32	4	1	1.012	0.360	1.000	Co-occurrence
USP9X	GLS	352	32	4	1	1.012	0.360	1.000	Co-occurrence
HDAC6	FBXO11	364	13	11	1	0.934	0.360	1.000	Co-occurrence
HDAC6	GRN	364	13	11	1	0.934	0.360	1.000	Co-occurrence
HDAC6	PKP3	364	13	11	1	0.934	0.360	1.000	Co-occurrence
FBXO11	CARD10	364	11	13	1	0.934	0.360	1.000	Co-occurrence
HDAC6	QKI	364	13	11	1	0.934	0.360	1.000	Co-occurrence
